"place","enLabel","placeLabel","toponyms","geometry","typeLabel","country"
"Q4723958","St. Elijah Cathedral","كاتدرائية مار الياس","كاتدرائية مار الياس","Point(34.994722222 32.819166666)","cathedral","Q801"
"Q1884952","Mahmood Mosque","مسجد محمود","مسجد محمود","Point(34.96991667 32.78827778)","mosque","Q801"
"Q2811568","El Bachar mosque","جامع الميناء","جامع الميناء","Point(35.0697 32.9203)","mosque","Q801"
"Q654866","Saint Peter Church, Capernaum","بيت القديس بطرس","بيت القديس بطرس","Point(35.57537 32.88056)","national park","Q801"
"Q2907699","El-Majdila Mosque","مسجد المجادلة","مسجد المجادلة","Point(35.0686 32.9231)","mosque","Q801"
"Q1028121","Church of the Transfiguration","كنيسة التجلي","كنيسة التجلي","Point(35.39285 32.68624)","church building","Q801"
"Q12409310","al-Omari Mosque","المسجد العمري الكبير في اللد","الجامع الكبير, الجامع العمري الكبير اللد, المسجد العمري الكبير اللد، المسجد العمري الكبير في اللد","Point(34.899444444 31.953055555)","mosque","Q801"
"Q2920690","Makam al-Nabi Sain Mosque","مسجد النبي سعين","مسجد النبي سعين","Point(35.29527778 32.70861111)","mosque","Q801"
"Q2855200","Jezzar Pasha Mosque","جامع الجزار","مسجد الجزار، جامع الجزار","Point(35.07031389 32.92270556)","mosque","Q801"
"Q6600844","Misgad HaShalom","جامع السلام","جامع السلام","Point(35.3014 32.7039)","mosque","Q801"
"Q4702696","Al-Khanqah al-Salahiyya Mosque","مسجد الخانقاة","مسجد الخانقاة","Point(35.22931389 31.7788)","mosque","Q801"
"Q1280187","Ecce Homo","قوس ايك هومو","قوس ايك هومو","Point(35.232830555 31.780288888)","church building","Q801"
"Q1416496","St Anne's Church, Tzippori","كنيسة القديسة حنة","كنيسة القديسة حنة","Point(35.276992 32.753889)","church building","Q801"
"Q6696726","Sidna Omar mosque","مسجد سيدنا عمر","مسجد سيدنا عمر","Point(35.231083333 31.775055555)","mosque","Q801"
"Q2914593","Hassan Bek Mosque","مسجد حسن بك","مسجد حسن بك","Point(34.76349167 32.06641389)","mosque","Q801"
"Q2975910","Sidna Ali Mosque","مسجد سيدنا علي","الحرم سيدنا علي، مسجد سيدنا علي","Point(34.80568611 32.18783889)","mosque","Q801"
"Q318972","Cenacle","علية صهيون","علية صهيون","Point(35.228972222 31.771805555)","church building","Q801"
"Q2920688","Mahmoudiya Mosque","مسجد المحمودية","جامع يافا الكبير، مسجد المحمودية","Point(34.75548 32.054917)","mosque","Q801"
"Q1355780","Lutheran Church of the Redeemer","الكنيسة اللوثرية، القدس","الكنيسة اللوثرية في القدس، الكنيسة اللوثرية، القدس","Point(35.230555555 31.777777777)","church building","Q801"
"Q89100134","Al-Muallaq Mosque","المسجد المعلق","المسجد المعلق","Point(35.068963 32.920849)","Listed Building in Acre","Q801"
"Q2920354","Saint Nicholas Monastery","دير القديس نقولا","دير القديس نقولا","Point(34.7523 32.0553)","monastery","Q801"
"Q2820487","Benedictine monastery in Abu Ghosh","دير اللطرون البنيديكتي","دير اللطرون البنيديكتي","Point(35.107583333 31.808111111)","monastery","Q801"
"Q89124317","Al-Jazzar Mosque","مسجد الجزار","مسجد الجزار","Point(35.070727 32.922228)","archaeological site","Q801"
"Q2479315","Russian Compound in Jerusalem","المسكوبية","المسكوبية","Point(35.221713888 31.782075)","church building","Q801"
"Q3320207","Laura of Euthymius","الخان الاحمر","الخان الاحمر","Point(35.3361976 31.7923838)","monastery","Q801"
"Q3906600","Temple in Jerusalem","معبد القدس","معبدالقدس، معبد القدس","Point(35.23547 31.77765)","destroyed building or structure","Q801"
"Q2474899","Abraham's Oak Holy Trinity Monastery","كنيسة المسكوبية","كنيسة المسكوبية","Point(35.0850444 31.5379306)","monastery","Q801"
"Q47466417","Spring Mosque","مسجد العين","مسجد العين","Point(35.1612 31.7653)","mosque","Q801"
"Q2318440","Church of Saint George","كنيسة القديس جاورجيوس","كنيسة القديس جاورجيوس","Point(34.899471 31.953086)","church building","Q801"
"Q2900587","Christ Church","الكنيسة الانجيلية","الكنيسة الانجيلية","Point(35.29597222 32.70236111)","church building","Q801"
"Q2919884","St. Peter's Church","كنيسة القديس بطرس","كنيسة القديس بطرس","Point(34.7521 32.0548)","church building","Q801"
"Q3320171","Mar Elias Monastery","دير مار الياس","دير مار الياس","Point(35.211166 31.734817)","Orthodox monastery","Q801"
"Q1462314","Shrine of the Báb","ضريح الباب","ضريح الباب","Point(34.987222 32.814444)","temple","Q801"
"Q2898483","Mensa Christi Church","كنيسة البلاطة","كنيسة البلاطة","Point(35.29521111 32.70434722)","church building","Q801"
"Q89456247","Siksik Mosque","مسجد السكسك","مسجد السكسك","Point(34.757638888 32.053055555)","mosque","Q801"
"Q6893710","St. Nicodemus and Joseph of Arimathea Church","كنيسة القديسين نيقوديموس ويوسف الرامي","كنيسة القديسين نيقوديموس ويوسف الرامي","Point(34.87194444 31.92666667)","church building","Q801"
